Likelihood Ratio,Big,Small,Combined,World,Geoneutrinos,17 N,9 Li,Sigma DS1,Sigma DS2
0,0.918528,0.631042,245,0.0425472,0.0560153,0.0695612,0.0477334,0.540293,0.320266
1,0.82731,0.569955,245,0.0384733,0.0506825,0.0639408,0.040915,0.487361,0.288562
2,0.737588,0.509758,0,0.0345896,0.045333,0.0583438,0.0350763,5.73189,3.38942
3,0.660674,0.458929,0,0.03118,0.0401423,0.0522777,0.0302467,5.43418,3.20669
4,0.600042,0.419095,0,0.0279247,0.0347969,0.046493,0.026622,5.19406,3.05813
5,0.54312,0.381583,0,0.0249589,0.029811,0.0407412,0.0234234,4.95779,2.91194
6,0.487874,0.342174,0,0.0220812,0.0250466,0.0353553,0.0204796,4.70675,2.76647
7,0.425386,0.302611,0,0.0193772,0.0209216,0.029946,0.0173692,4.41518,2.5799
8,0.365053,0.256582,0,0.0164693,0.0174862,0.0244945,0.0147094,4.08477,2.39877
9,0.306934,0.21307,0,0.0138921,0.0143894,0.0200844,0.0119174,3.73892,2.20691
10,0.252586,0.175868,0,0.0114224,0.0119904,0.0167018,0.00969853,3.39336,2.00048
11,0.209311,0.147299,0,0.00949567,0.00994258,0.0138869,0.00805272,3.09613,1.81727
12,0.174416,0.120858,0,0.00783359,0.0082207,0.0112784,0.00660284,2.81871,1.66499
13,0.144788,0.0994508,0,0.00644162,0.00659077,0.00929391,0.00515785,2.56633,1.52135
14,0.117554,0.0817207,0,0.00530876,0.00542474,0.00760027,0.00405085,2.3183,1.36759
15,0.0952286,0.0669715,0,0.00431371,0.00435066,0.00621158,0.00314467,2.09271,1.22864
16,0.0775715,0.0537708,0,0.00343443,0.0033936,0.00492141,0.00249321,1.88541,1.11354
17,0.0626677,0.0430089,0,0.00273431,0.00259953,0.00389397,0.00189562,1.69363,1.00435
18,0.0513552,0.0339503,0,0.00211137,0.0019183,0.00296974,0.00152335,1.52535,0.918286
19,0.0399828,0.027679,0,0.00164004,0.00136663,0.00220502,0.00119517,1.36172,0.804668
20,0.0302864,0.0204399,0,0.00124036,0.00091109,0.00149191,0.000901277,1.1818,0.705602
21,0.0213681,0.0147105,0,0.000926138,0.000564207,0.00098522,0.000631874,0.998262,0.591235
22,0.0152629,0.00987153,0,0.000664284,0.000384497,0.000558292,0.000460435,0.834699,0.506872
23,0.0112527,0.00650359,0,0.000493389,0.000217324,0.000319024,0.000357572,0.702911,0.445455
24,0.00718255,0.00429702,0,0.000322495,0.000133738,0.000178278,0.000264505,0.565133,0.353593
25,0.00448909,0.00255498,0,0.000187433,7.52276e-05,0.000112597,0.00019593,0.442122,0.281758
26,0.00269345,0.00135492,0,0.000124036,2.92552e-05,6.56814e-05,0.000146947,0.333742,0.222044
27,0.0019752,0.000348407,0,9.37164e-05,1.25379e-05,3.75322e-05,0.000102863,0.251035,0.213395
28,0.00137665,0.000232271,0,7.16655e-05,4.17931e-06,1.40746e-05,8.32702e-05,0.208751,0.178615
29,0.00101753,0.000154847,0,3.58327e-05,0,9.38305e-06,4.40842e-05,0.180781,0.156904
